COUNTRY,PERNUM,AGE,SEX,MARST,INDIG,EDATTAIN,YRSCHOOL,EMPSTAT,INCEARN
840,1,43,1,2,2,3,13,1,60000
484,1,56,1,2,1,1,3,1,0
484,2,34,2,2,2,2,9,3,99999999
484,2,23,2,2,2,1,0,3,99999999
484,1,70,1,1,1,3,12,1,8571
484,1,56,1,2,1,1,0,1,0
484,2,30,2,2,1,2,6,3,99999999
484,4,30,1,1,1,2,9,1,99999998
484,3,34,2,1,2,3,12,1,4000
840,1,68,2,4,2,4,13,1,33000
484,1,68,2,4,9,2,6,3,99999999
840,2,66,1,2,2,4,13,1,20700
484,5,29,1,3,2,4,16,1,3857
484,2,15,2,1,2,2,9,3,99999999
484,1,43,1,2,2,2,9,2,99999999
484,6,38,2,2,1,2,9,3,99999999
840,6,4,1,1,2,1,0,0,0
484,3,52,2,2,2,3,12,3,99999999
484,3,51,2,1,2,4,16,1,25000
484,1,54,1,2,2,4,18,1,7000
484,2,23,1,1,1,9,98,3,99999999
484,2,7,2,1,1,1,1,0,99999999
840,1,26,1,1,2,3,12,3,0
484,8,6,1,1,1,1,0,0,99999999
484,5,4,2,1,2,1,0,0,99999999
840,1,49,1,3,2,3,12,1,37000
840,2,29,1,2,2,3,12,1,40000
484,1,23,1,2,2,2,9,1,8000
484,3,29,2,2,2,3,15,1,8000
840,1,57,2,2,2,4,13,1,109000
840,1,53,2,4,2,3,13,3,0
484,4,52,2,2,1,1,2,3,99999999
484,2,12,1,2,2,1,5,3,99999999
484,8,23,1,1,2,2,6,1,3000
484,5,1,1,1,2,0,99,0,99999999
840,2,17,2,1,2,2,11,3,0
484,3,5,1,1,2,1,0,0,99999999
484,2,8,2,1,2,1,1,0,99999999
484,1,69,1,2,1,1,4,3,99999999
484,2,16,2,1,2,2,9,3,99999999
484,4,55,2,2,2,3,12,1,8000
484,2,5,1,1,2,1,0,0,99999999
484,5,33,2,2,1,2,9,3,99999999
484,3,15,1,1,2,2,8,3,99999999
484,1,73,2,4,2,2,6,3,99999999
484,4,22,2,2,2,3,12,1,3600
484,2,16,2,1,9,2,10,1,99999998
484,4,7,1,1,2,1,1,0,99999999
484,2,18,2,2,1,1,5,3,99999999
484,7,9,2,1,1,1,2,0,99999999
840,2,73,1,2,2,1,0,3,0
484,2,8,2,1,1,1,2,0,99999999
484,2,7,2,1,2,1,1,0,99999999
484,2,4,1,1,2,1,0,0,99999999
484,6,9,2,1,1,1,3,0,99999999
840,6,2,2,1,2,0,99,0,0
484,3,12,2,1,2,2,7,3,99999999
484,4,26,2,2,2,2,6,3,99999999
484,4,38,2,2,2,2,9,1,4000
840,3,80,2,4,2,2,9,3,0
840,3,19,2,1,2,3,12,1,8500
484,2,85,2,4,1,1,0,3,99999999
484,1,44,1,2,1,1,0,1,0
484,3,14,1,1,2,2,7,1,0
840,2,72,2,2,2,3,13,3,0
484,1,59,1,2,1,2,6,1,4286
484,4,50,2,2,2,2,9,3,99999999
484,4,0,2,1,2,0,99,0,99999999
484,3,47,2,2,1,1,5,1,3000
484,1,54,1,2,2,2,9,1,99999998
484,3,6,1,1,2,1,1,0,99999999
840,4,14,1,1,2,2,7,0,0
484,2,30,2,2,2,2,7,1,4600
484,11,16,2,1,2,1,0,1,2571
484,3,57,2,2,2,1,4,3,99999999
840,1,74,1,2,2,2,9,3,0
484,1,57,2,4,1,2,6,3,99999999
484,5,21,2,3,2,2,10,1,5143
484,1,68,1,2,2,1,0,1,99999998
484,1,30,1,2,2,2,9,1,6429
484,2,36,2,2,2,2,9,3,99999999
484,1,73,1,2,1,1,2,3,99999999
484,8,46,1,1,2,1,5,1,5000
484,5,19,1,1,2,2,9,2,99999999
840,1,30,1,2,2,4,13,1,70000
840,4,50,1,1,2,3,13,1,40000
484,3,25,2,2,2,4,16,1,12000
484,2,73,2,2,1,1,0,3,99999999
484,6,17,2,1,1,2,9,3,99999999
840,1,62,2,2,2,4,13,3,0
484,4,15,2,1,2,2,7,3,99999999
484,1,37,1,2,9,1,0,1,0
484,5,13,1,1,2,1,1,3,99999999
484,1,44,1,2,1,2,6,1,0
840,1,39,1,2,2,3,13,1,120000
840,1,78,2,4,2,4,13,3,0
484,1,25,1,2,1,2,9,3,99999999
484,1,78,1,2,1,1,0,3,99999999
484,3,10,2,1,1,1,4,0,99999999
484,4,12,1,1,2,1,4,3,99999999
484,4,14,2,1,2,2,8,3,99999999
484,1,48,1,2,1,2,6,1,3857
484,3,4,1,1,1,1,0,0,99999999
484,2,3,1,1,2,1,0,0,99999999
484,1,60,2,4,1,1,0,3,99999999
484,2,1,1,1,2,0,99,0,99999999
484,2,3,2,1,2,1,0,0,99999999
484,5,33,2,2,2,2,9,3,99999999
840,1,26,1,1,2,4,13,3,5500
484,2,3,1,1,2,1,0,0,99999999
484,4,5,1,1,1,1,0,0,99999999
484,3,4,1,1,2,1,0,0,99999999
484,3,14,1,1,2,2,7,3,99999999
840,2,47,1,2,2,4,13,1,429000
484,6,48,2,2,1,1,0,3,99999999
484,2,2,2,1,2,0,99,0,99999999
484,6,20,2,2,2,3,12,3,99999999
484,3,20,1,1,1,2,9,2,99999999
484,1,50,1,2,2,2,6,1,99999998
840,2,33,2,2,2,4,13,3,5400
484,1,71,1,2,2,2,9,1,3000
840,2,36,1,2,2,4,13,1,50000
484,2,23,2,1,2,2,9,1,5571
484,1,36,2,1,2,4,18,1,7000
484,3,3,1,1,1,1,0,0,99999999
484,3,79,1,4,2,1,0,3,99999999
484,7,1,1,1,1,0,99,0,99999999
484,6,6,2,1,2,1,0,0,99999999
484,3,11,2,1,2,1,5,0,99999999
484,3,3,2,1,2,1,0,0,99999999
484,5,33,1,1,1,2,9,1,1286
484,1,56,2,3,9,2,6,3,99999999
484,5,34,2,3,2,2,9,1,2571
840,1,39,1,2,2,4,13,1,75000
484,2,12,2,1,2,2,6,3,99999999
484,5,21,2,1,2,3,12,1,3800
484,2,0,2,1,1,0,99,0,99999999
484,5,0,1,1,2,0,99,0,99999999
484,1,36,1,2,2,3,12,1,9700
484,2,70,2,2,2,1,3,3,99999999
484,2,10,1,1,2,1,3,0,99999999
840,2,53,2,2,2,3,12,1,14000
484,1,45,1,3,2,2,6,1,6429
484,3,2,2,1,9,0,99,0,99999999
484,3,51,2,2,2,2,9,3,99999999
840,1,77,2,3,2,3,12,3,0
840,2,29,2,2,2,4,13,1,7700
840,2,82,2,1,2,1,0,3,0
840,3,11,2,1,2,2,6,0,0
484,3,16,2,1,2,2,11,3,99999999
484,2,61,1,2,2,2,9,3,99999999
